_id,id,ags2,bundesland,ags5,kreis,kr_fris,kr_rest,kr_shops,kr_gewerbe,kr_mall,kr_vereine,kr_sb,kr_poi_1,kr_poi_2,kr_poi_3,kr_poi_4,kr_poi_5,kr_poi_6,kr_poi_7,kr_poi_8,kr_poi_9
185,185,08,Baden-Württemberg,08121,Heilbronn,157,173,384,8573,3,303,0,133,1063,56,33,225,52,143,505,1368
186,186,08,Baden-Württemberg,08125,Heilbronn,440,399,742,21084,1,724,45,352,2694,80,144,520,175,376,973,3891
187,187,08,Baden-Württemberg,08126,Hohenlohekreis,116,134,268,6807,1,201,23,132,863,28,91,168,52,118,300,1211
188,188,08,Baden-Württemberg,08127,Schwäbisch Hall,220,226,561,12386,1,400,35,223,1637,75,131,311,96,235,588,2252
189,189,08,Baden-Württemberg,08128,Main-Tauber-Kreis,138,189,434,8420,0,283,22,156,1185,37,187,284,60,182,498,1334
190,190,08,Baden-Württemberg,08135,Heidenheim,141,153,378,7171,1,277,30,175,957,43,48,180,57,136,446,1242
191,191,08,Baden-Württemberg,08136,Ostalbkreis,384,417,877,18841,3,654,43,338,2601,121,155,565,124,323,1076,3276
192,192,08,Baden-Württemberg,08211,Baden-Baden,86,125,192,5137,1,150,2,45,572,30,76,154,31,64,361,799
193,193,08,Baden-Württemberg,08212,Karlsruhe,324,480,759,20156,4,680,1,241,2265,143,80,592,139,259,1485,2996
194,194,08,Baden-Württemberg,08215,Karlsruhe,558,609,1007,26582,2,815,19,408,3518,93,122,712,166,452,1592,4449
195,195,08,Baden-Württemberg,08216,Rastatt,286,312,610,13209,2,424,5,194,1726,60,132,401,86,249,749,2145
196,196,08,Baden-Württemberg,08221,Heidelberg,157,305,405,11274,3,553,0,136,1205,95,107,347,55,102,1046,1589
197,197,08,Baden-Württemberg,08222,Mannheim,367,556,737,20094,5,1044,2,296,2161,138,60,528,101,212,1312,2817
198,198,08,Baden-Württemberg,08225,Neckar-Odenwald-Kreis,154,196,400,8618,1,329,23,138,1150,35,114,188,84,178,463,1526
199,199,08,Baden-Württemberg,08226,Rhein-Neckar-Kreis,719,706,1331,33607,3,1039,31,386,4396,169,244,764,200,457,2082,5969
200,200,08,Baden-Württemberg,08231,Pforzheim,144,157,381,7722,3,275,0,125,1055,50,25,195,43,121,514,1094
201,201,08,Baden-Württemberg,08235,Calw,208,196,411,9926,1,311,14,193,1296,57,225,305,93,184,634,1735
202,202,08,Baden-Württemberg,08236,Enzkreis,232,164,434,12612,0,359,21,180,1601,40,67,242,100,211,623,2187
203,203,08,Baden-Württemberg,08237,Freudenstadt,143,196,412,8153,1,256,16,164,1043,41,270,318,56,151,446,1318
204,204,08,Baden-Württemberg,08311,Freiburg im Breisgau,224,331,553,16622,4,1052,5,297,1795,125,87,362,72,184,1563,2299
205,205,08,Baden-Württemberg,08315,Breisgau-Hochschwarzwald,292,427,676,18581,0,679,36,291,2244,89,689,688,108,283,1180,3175
206,206,08,Baden-Württemberg,08316,Emmendingen,192,228,432,10903,0,434,20,196,1400,41,239,327,55,170,656,1836
207,207,08,Baden-Württemberg,08317,Ortenaukreis,488,673,1201,28521,2,1004,91,473,3726,121,622,945,123,476,1694,4567
208,208,08,Baden-Württemberg,08325,Rottweil,182,196,410,9967,0,340,20,167,1310,50,86,259,52,179,534,1695
209,209,08,Baden-Württemberg,08326,Schwarzwald-Baar-Kreis,237,307,686,14040,2,385,24,200,1750,88,228,357,74,242,818,2257
