,ags5,time_stamp,value
420,01003,2014-03-31,10.7
421,01003,2014-04-30,10.3
422,01003,2014-05-31,10.0
423,01003,2014-06-30,9.9
424,01003,2014-07-31,10.3
425,01003,2014-08-31,10.2
426,01003,2014-09-30,9.8
427,01003,2014-10-31,9.6
428,01003,2014-11-30,9.3
429,01003,2014-12-31,9.5
430,01003,2015-01-31,10.3
431,01003,2015-02-28,10.4
432,01003,2015-03-31,10.3
433,01003,2015-04-30,10.1
434,01003,2015-05-31,9.7
435,01003,2015-06-30,9.6
436,01003,2015-07-31,9.9
437,01003,2015-08-31,10.1
438,01003,2015-09-30,9.7
439,01003,2015-10-31,9.6
440,01003,2015-11-30,9.6
441,01003,2015-12-31,9.5
442,01003,2016-01-31,10.1
443,01003,2016-02-29,10.0
444,01003,2016-03-31,9.7
445,01003,2016-04-30,9.5
446,01003,2016-05-31,9.0
447,01003,2016-06-30,8.7
448,01003,2016-07-31,8.8
449,01003,2016-08-31,8.9
450,01003,2016-09-30,8.6
451,01003,2016-10-31,8.5
452,01003,2016-11-30,8.5
453,01003,2016-12-31,8.6
454,01003,2017-01-31,9.1
455,01003,2017-02-28,9.1
456,01003,2017-03-31,9.0
457,01003,2017-04-30,8.8
458,01003,2017-05-31,8.5
459,01003,2017-06-30,8.4
460,01003,2017-07-31,8.4
461,01003,2017-08-31,8.7
462,01003,2017-09-30,8.5
463,01003,2017-10-31,8.3
464,01003,2017-11-30,8.2
465,01003,2017-12-31,8.1
466,01003,2018-01-31,8.5
467,01003,2018-02-28,8.5
468,01003,2018-03-31,8.4
469,01003,2018-04-30,8.1
470,01003,2018-05-31,7.7
471,01003,2018-06-30,7.5
472,01003,2018-07-31,7.7
473,01003,2018-08-31,7.7
474,01003,2018-09-30,7.3
475,01003,2018-10-31,7.3
476,01003,2018-11-30,7.3
477,01003,2018-12-31,7.3
478,01003,2019-01-31,7.8
479,01003,2019-02-28,7.6
480,01003,2019-03-31,7.5
481,01003,2019-04-30,7.4
482,01003,2019-05-31,7.3
483,01003,2019-06-30,7.1
484,01003,2019-07-31,7.4
485,01003,2019-08-31,7.3
486,01003,2019-09-30,7.1
487,01003,2019-10-31,7.0
488,01003,2019-11-30,6.9
489,01003,2019-12-31,6.9
490,01003,2020-01-31,7.4
491,01003,2020-02-29,7.3
492,01003,2020-03-31,7.2
493,01003,2020-04-30,8.3
494,01003,2020-05-31,8.7
495,01003,2020-06-30,8.6
496,01003,2020-07-31,8.7
497,01003,2020-08-31,8.6
498,01003,2020-09-30,8.3
499,01003,2020-10-31,8.2
500,01003,2020-11-30,8.1
501,01003,2020-12-31,8.2
502,01003,2021-01-31,8.7
503,01003,2021-02-28,8.8
504,01003,2021-03-31,8.9
505,01003,2021-04-30,8.9
506,01003,2021-05-31,8.6
507,01004,2007-05-31,11.1
508,01004,2007-06-30,11.2
509,01004,2007-07-31,11.6
510,01004,2007-08-31,11.5
511,01004,2007-09-30,10.9
512,01004,2007-10-31,10.9
513,01004,2007-11-30,10.7
514,01004,2007-12-31,10.8
515,01004,2008-01-31,11.4
516,01004,2008-02-29,11.1
517,01004,2008-03-31,10.9
518,01004,2008-04-30,11.1
519,01004,2008-05-31,10.8
520,01004,2008-06-30,10.4
521,01004,2008-07-31,10.7
522,01004,2008-08-31,11.0
523,01004,2008-09-30,10.7
524,01004,2008-10-31,10.5
525,01004,2008-11-30,10.5
526,01004,2008-12-31,10.6
527,01004,2009-01-31,11.4
528,01004,2009-02-28,11.3
529,01004,2009-03-31,11.5
530,01004,2009-04-30,11.8
531,01004,2009-05-31,11.5
532,01004,2009-06-30,11.3
533,01004,2009-07-31,11.6
534,01004,2009-08-31,11.4
535,01004,2009-09-30,10.9
536,01004,2009-10-31,10.7
537,01004,2009-11-30,10.7
538,01004,2009-12-31,10.8
539,01004,2010-01-31,11.9
540,01004,2010-02-28,11.9
541,01004,2010-03-31,11.8
542,01004,2010-04-30,11.5
543,01004,2010-05-31,11.4
544,01004,2010-06-30,11.2
545,01004,2010-07-31,11.9
546,01004,2010-08-31,11.7
547,01004,2010-09-30,11.3
548,01004,2010-10-31,10.8
549,01004,2010-11-30,10.8
550,01004,2010-12-31,11.1
551,01004,2011-01-31,12.4
552,01004,2011-02-28,12.4
553,01004,2011-03-31,12.1
554,01004,2011-04-30,11.7
555,01004,2011-05-31,11.4
556,01004,2011-06-30,11.1
557,01004,2011-07-31,11.3
558,01004,2011-08-31,10.9
559,01004,2011-09-30,10.3
560,01004,2011-10-31,10.3
561,01004,2011-11-30,10.1
562,01004,2011-12-31,10.5
563,01004,2012-01-31,11.6
564,01004,2012-02-29,11.7
565,01004,2012-03-31,11.6
566,01004,2012-04-30,11.2
567,01004,2012-05-31,10.8
568,01004,2012-06-30,10.7
569,01004,2012-07-31,11.1
570,01004,2012-08-31,10.8
571,01004,2012-09-30,10.5
572,01004,2012-10-31,10.6
573,01004,2012-11-30,10.8
574,01004,2012-12-31,10.9
575,01004,2013-01-31,11.8
576,01004,2013-02-28,12.0
577,01004,2013-03-31,11.7
578,01004,2013-04-30,11.3
579,01004,2013-05-31,10.9
580,01004,2013-06-30,10.7
581,01004,2013-07-31,11.1
582,01004,2013-08-31,11.0
583,01004,2013-09-30,10.6
584,01004,2013-10-31,10.7
585,01004,2013-11-30,10.7
586,01004,2013-12-31,10.8
587,01004,2014-01-31,11.7
588,01004,2014-02-28,11.6
589,01004,2014-03-31,11.3
590,01004,2014-04-30,10.9
591,01004,2014-05-31,10.9
592,01004,2014-06-30,10.7
593,01004,2014-07-31,11.1
594,01004,2014-08-31,11.0
595,01004,2014-09-30,10.6
596,01004,2014-10-31,10.6
597,01004,2014-11-30,10.3
598,01004,2014-12-31,10.4
599,01004,2015-01-31,11.1
600,01004,2015-02-28,11.1
601,01004,2015-03-31,10.7
602,01004,2015-04-30,10.6
603,01004,2015-05-31,10.3
604,01004,2015-06-30,10.0
605,01004,2015-07-31,10.3
606,01004,2015-08-31,10.2
607,01004,2015-09-30,9.9
608,01004,2015-10-31,9.6
609,01004,2015-11-30,9.4
610,01004,2015-12-31,9.6
611,01004,2016-01-31,10.3
612,01004,2016-02-29,10.1
613,01004,2016-03-31,10.1
614,01004,2016-04-30,10.1
615,01004,2016-05-31,9.7
616,01004,2016-06-30,9.1
617,01004,2016-07-31,9.4
618,01004,2016-08-31,9.6
619,01004,2016-09-30,9.3
620,01004,2016-10-31,9.0
621,01004,2016-11-30,8.9
622,01004,2016-12-31,9.1
623,01004,2017-01-31,9.9
624,01004,2017-02-28,9.9
625,01004,2017-03-31,9.6
626,01004,2017-04-30,9.5
627,01004,2017-05-31,9.3
628,01004,2017-06-30,9.2
629,01004,2017-07-31,9.4
630,01004,2017-08-31,9.3
631,01004,2017-09-30,9.0
632,01004,2017-10-31,8.7
633,01004,2017-11-30,8.4
634,01004,2017-12-31,8.4
635,01004,2018-01-31,9.0
636,01004,2018-02-28,9.0
637,01004,2018-03-31,8.9
638,01004,2018-04-30,8.7
639,01004,2018-05-31,8.5
640,01004,2018-06-30,8.3
641,01004,2018-07-31,8.3
642,01004,2018-08-31,8.4
643,01004,2018-09-30,7.9
644,01004,2018-10-31,7.7
645,01004,2018-11-30,7.8
646,01004,2018-12-31,7.7
647,01004,2019-01-31,8.3
648,01004,2019-02-28,8.2
649,01004,2019-03-31,8.0
650,01004,2019-04-30,7.9
651,01004,2019-05-31,8.0
652,01004,2019-06-30,7.9
653,01004,2019-07-31,8.0
654,01004,2019-08-31,7.9
655,01004,2019-09-30,7.6
656,01004,2019-10-31,7.7
657,01004,2019-11-30,7.7
658,01004,2019-12-31,7.6
659,01004,2020-01-31,8.2
660,01004,2020-02-29,8.1
661,01004,2020-03-31,7.9
662,01004,2020-04-30,8.8
663,01004,2020-05-31,9.2
664,01004,2020-06-30,9.3
665,01004,2020-07-31,9.5
666,01004,2020-08-31,9.4
667,01004,2020-09-30,9.3
668,01004,2020-10-31,9.2
669,01004,2020-11-30,9.1
670,01004,2020-12-31,9.1
671,01004,2021-01-31,9.5
672,01004,2021-02-28,9.8
673,01004,2021-03-31,9.6
674,01004,2021-04-30,9.4
675,01004,2021-05-31,9.1
676,01051,2007-05-31,9.9
677,01051,2007-06-30,9.5
678,01051,2007-07-31,9.7
679,01051,2007-08-31,9.7
680,01051,2007-09-30,9.0
681,01051,2007-10-31,8.8
682,01051,2007-11-30,9.2
683,01051,2007-12-31,9.6
684,01051,2008-01-31,10.7
685,01051,2008-02-29,10.6
686,01051,2008-03-31,10.2
687,01051,2008-04-30,9.6
688,01051,2008-05-31,9.3
689,01051,2008-06-30,9.0
690,01051,2008-07-31,9.4
691,01051,2008-08-31,9.6
692,01051,2008-09-30,9.3
693,01051,2008-10-31,9.0
694,01051,2008-11-30,9.2
695,01051,2008-12-31,9.7
696,01051,2009-01-31,10.9
697,01051,2009-02-28,11.0
698,01051,2009-03-31,10.7
699,01051,2009-04-30,10.2
700,01051,2009-05-31,9.7
701,01051,2009-06-30,9.2
702,01051,2009-07-31,9.3
703,01051,2009-08-31,9.5
704,01051,2009-09-30,8.9
705,01051,2009-10-31,8.4
706,01051,2009-11-30,8.6
707,01051,2009-12-31,9.2
708,01051,2010-01-31,10.2
709,01051,2010-02-28,10.2
710,01051,2010-03-31,9.8
711,01051,2010-04-30,8.7
712,01051,2010-05-31,8.0
713,01051,2010-06-30,7.7
714,01051,2010-07-31,8.1
715,01051,2010-08-31,8.1
716,01051,2010-09-30,7.5
717,01051,2010-10-31,7.4
718,01051,2010-11-30,7.7
719,01051,2010-12-31,8.6
720,01051,2011-01-31,9.9
721,01051,2011-02-28,9.8
722,01051,2011-03-31,9.3
723,01051,2011-04-30,8.4
724,01051,2011-05-31,8.0
725,01051,2011-06-30,7.8
726,01051,2011-07-31,8.3
727,01051,2011-08-31,8.2
728,01051,2011-09-30,7.7
729,01051,2011-10-31,7.8
730,01051,2011-11-30,7.8
731,01051,2011-12-31,8.4
732,01051,2012-01-31,9.3
733,01051,2012-02-29,9.4
734,01051,2012-03-31,9.0
735,01051,2012-04-30,8.2
736,01051,2012-05-31,7.8
737,01051,2012-06-30,7.7
738,01051,2012-07-31,8.1
739,01051,2012-08-31,7.9
740,01051,2012-09-30,7.3
741,01051,2012-10-31,6.9
742,01051,2012-11-30,7.2
743,01051,2012-12-31,7.7
744,01051,2013-01-31,8.9
745,01051,2013-02-28,9.0
746,01051,2013-03-31,8.6
747,01051,2013-04-30,7.9
748,01051,2013-05-31,7.2
749,01051,2013-06-30,7.1
750,01051,2013-07-31,7.2
751,01051,2013-08-31,6.9
752,01051,2013-09-30,6.8
753,01051,2013-10-31,6.8
754,01051,2013-11-30,7.3
755,01051,2013-12-31,8.0
756,01051,2014-01-31,8.8
757,01051,2014-02-28,8.7
758,01051,2014-03-31,8.3
759,01051,2014-04-30,7.5
760,01051,2014-05-31,7.0
761,01051,2014-06-30,6.9
762,01051,2014-07-31,6.9
763,01051,2014-08-31,7.0
764,01051,2014-09-30,6.7
765,01051,2014-10-31,6.5
766,01051,2014-11-30,6.9
767,01051,2014-12-31,7.5
768,01051,2015-01-31,8.5
769,01051,2015-02-28,8.5
770,01051,2015-03-31,7.9
771,01051,2015-04-30,7.2
772,01051,2015-05-31,6.8
773,01051,2015-06-30,6.7
774,01051,2015-07-31,7.0
775,01051,2015-08-31,7.3
776,01051,2015-09-30,6.8
777,01051,2015-10-31,6.7
778,01051,2015-11-30,7.2
779,01051,2015-12-31,7.7
780,01051,2016-01-31,8.5
781,01051,2016-02-29,8.4
782,01051,2016-03-31,8.0
783,01051,2016-04-30,7.4
784,01051,2016-05-31,7.0
785,01051,2016-06-30,6.6
786,01051,2016-07-31,6.7
787,01051,2016-08-31,6.9
788,01051,2016-09-30,6.7
789,01051,2016-10-31,6.4
790,01051,2016-11-30,6.6
791,01051,2016-12-31,7.1
792,01051,2017-01-31,7.7
793,01051,2017-02-28,7.8
794,01051,2017-03-31,7.4
795,01051,2017-04-30,6.7
796,01051,2017-05-31,6.2
797,01051,2017-06-30,6.3
798,01051,2017-07-31,6.5
799,01051,2017-08-31,6.8
800,01051,2017-09-30,6.5
801,01051,2017-10-31,6.4
802,01051,2017-11-30,6.6
803,01051,2017-12-31,7.0
804,01051,2018-01-31,7.7
805,01051,2018-02-28,7.6
806,01051,2018-03-31,7.3
807,01051,2018-04-30,6.8
808,01051,2018-05-31,6.1
809,01051,2018-06-30,5.9
810,01051,2018-07-31,5.9
811,01051,2018-08-31,5.9
812,01051,2018-09-30,5.5
813,01051,2018-10-31,5.4
814,01051,2018-11-30,5.4
815,01051,2018-12-31,5.8
816,01051,2019-01-31,6.4
817,01051,2019-02-28,6.3
818,01051,2019-03-31,6.0
819,01051,2019-04-30,5.5
820,01051,2019-05-31,5.2
821,01051,2019-06-30,5.0
822,01051,2019-07-31,5.2
823,01051,2019-08-31,5.3
824,01051,2019-09-30,5.1
825,01051,2019-10-31,5.1
826,01051,2019-11-30,5.3
827,01051,2019-12-31,5.6
828,01051,2020-01-31,6.1
829,01051,2020-02-29,6.0
830,01051,2020-03-31,5.8
831,01051,2020-04-30,6.3
832,01051,2020-05-31,6.6
833,01051,2020-06-30,6.4
834,01051,2020-07-31,6.3
835,01051,2020-08-31,6.2
836,01051,2020-09-30,5.8
837,01051,2020-10-31,5.7
838,01051,2020-11-30,5.8
839,01051,2020-12-31,6.2
840,01051,2021-01-31,6.8
841,01051,2021-02-28,6.9
842,01051,2021-03-31,6.6
843,01051,2021-04-30,6.4
844,01051,2021-05-31,6.1
845,01053,2007-05-31,7.2
846,01053,2007-06-30,6.9
847,01053,2007-07-31,7.0
848,01053,2007-08-31,7.1
849,01053,2007-09-30,6.7
850,01053,2007-10-31,6.5
851,01053,2007-11-30,6.5
852,01053,2007-12-31,6.5
853,01053,2008-01-31,7.0
854,01053,2008-02-29,6.9
855,01053,2008-03-31,6.7
856,01053,2008-04-30,6.6
857,01053,2008-05-31,6.5
858,01053,2008-06-30,6.3
859,01053,2008-07-31,6.4
860,01053,2008-08-31,6.5
861,01053,2008-09-30,6.4
862,01053,2008-10-31,6.2
863,01053,2008-11-30,6.1
864,01053,2008-12-31,6.2
865,01053,2009-01-31,6.9
866,01053,2009-02-28,7.0
867,01053,2009-03-31,7.0
868,01053,2009-04-30,7.1
869,01053,2009-05-31,6.7
870,01053,2009-06-30,6.6
871,01053,2009-07-31,6.8
