ags5,date,ground_truth,pred,error
1054,5/31/2019,4.2,4.9003763,0.70037632
1054,6/30/2019,4.1,4.822755,0.72275486
1054,7/31/2019,4.3,4.5045953,0.20459528
1054,8/31/2019,4.1,4.3990846,0.299084568
1054,9/30/2019,4,4.2419477,0.241947651
1054,10/31/2019,4,3.9619849,0.038015127
1054,11/30/2019,4.6,4.1879363,0.412063694
1054,12/31/2019,5.2,4.7329698,0.467030239
1055,1/31/2018,6.7,6.2941155,0.405884457
1055,2/28/2018,6.7,6.326799,0.373201084
1055,3/31/2018,5.9,6.016177,0.116177177
1055,4/30/2018,5,5.6056576,0.605657578
1055,5/31/2018,4.6,5.2294106,0.629410648
1055,6/30/2018,4.4,5.2113047,0.811304665
1055,7/31/2018,4.6,4.881898,0.281897926
1055,8/31/2018,4.6,4.813833,0.213833237
1055,9/30/2018,4.4,4.6929793,0.292979336
1055,10/31/2018,4.4,4.39366,0.006339931
1055,11/30/2018,5,4.586981,0.41301918
1055,12/31/2018,5.5,5.124341,0.375658989
1055,1/31/2019,6.3,5.839323,0.460676956
1055,2/28/2019,6.2,5.8848896,0.315110397
1055,3/31/2019,5.6,5.5934134,0.006586647
1055,4/30/2019,4.8,5.182902,0.382901859
1055,5/31/2019,4.5,4.8373523,0.337352276
1055,6/30/2019,4.4,4.8046036,0.404603577
1055,7/31/2019,4.6,4.639913,0.039913082
1055,8/31/2019,4.5,4.503998,0.003997803
1055,9/30/2019,4.3,4.3783836,0.078383636
1055,10/31/2019,4.3,4.1962533,0.1037467
1055,11/30/2019,4.9,4.4188433,0.481156731
1055,12/31/2019,5.4,4.865269,0.534730816
1056,1/31/2018,5.1,4.965746,0.134254074
1056,2/28/2018,5.1,4.969497,0.130502796
1056,3/31/2018,5,4.941938,0.058062077
1056,4/30/2018,4.9,4.8364863,0.06351366
1056,5/31/2018,4.6,4.724284,0.124284172
1056,6/30/2018,4.5,4.81828,0.31828022
1056,7/31/2018,4.7,4.740456,0.040456104
