id,ags2,bundesland,ags5,kreis,kr_opnv_d,kr_opnv_b,kr_sm_b,kr_sm_d,kr_opnv_idx,kr_dist_bush,kr_dist_bhf,kr_dist_opnv,kr_dist_ustrab
116,5,Nordrhein-Westfalen,5978,Unna,240,99,81,746,44,320,1750,316,5929
117,6,Hessen,6411,Kreisfreie Stadt Darmstadt,195,100,92,457,69,308,1103,249,610
118,6,Hessen,6412,Kreisfreie Stadt Frankfurt am Main,183,100,99,320,77,256,865,221,844
119,6,Hessen,6413,Kreisfreie Stadt Offenbach am Main,175,100,99,321,63,231,1046,228,2453
120,6,Hessen,6414,Landeshauptstadt Wiesbaden,169,100,92,486,46,249,1713,246,6220
121,6,Hessen,6431,Bergstraße,268,98,73,939,40,335,1650,316,6045
122,6,Hessen,6432,Darmstadt-Dieburg,276,99,79,812,42,561,2267,478,3789
123,6,Hessen,6433,Groß-Gerau,226,99,89,584,43,387,1406,372,7118
124,6,Hessen,6434,Hochtaunus,214,100,82,753,48,375,2019,350,4936
125,6,Hessen,6435,Main-Kinzig,304,97,76,874,38,512,2290,478,7262
126,6,Hessen,6436,Main-Taunus,217,100,82,720,48,413,1150,358,6597
127,6,Hessen,6437,Odenwaldkreis,393,93,54,1720,35,450,3695,436,-99
128,6,Hessen,6438,Offenbach,216,100,91,540,46,306,1067,292,5993
129,6,Hessen,6439,Rheingau-Taunus,272,98,60,1295,36,438,3513,396,7080
130,6,Hessen,6440,Wetterau,277,99,68,1014,37,482,2132,449,6580
131,6,Hessen,6531,Gießen,271,98,71,990,37,409,2778,398,-99
132,6,Hessen,6532,Lahn-Dill,364,95,61,1162,35,477,3167,451,-99
133,6,Hessen,6533,Limburg-Weilburg,342,94,58,1295,37,556,2561,482,-99
134,6,Hessen,6534,Marburg-Biedenkopf,322,97,63,1217,35,455,3082,448,-99
135,6,Hessen,6535,Vogelsberg,438,92,50,1788,26,737,4281,724,-99
136,6,Hessen,6611,Kreisfreie Stadt Kassel,190,100,97,409,66,289,2081,250,668
137,6,Hessen,6631,Fulda,525,88,61,1320,35,568,3157,545,-99
138,6,Hessen,6632,Hersfeld-Rotenburg,481,90,55,1481,34,571,3365,545,-99
139,6,Hessen,6633,Kassel,289,98,72,1007,43,538,3338,470,3421
140,6,Hessen,6634,Schwalm-Eder,527,91,53,1558,33,619,3593,595,7142
141,6,Hessen,6635,Waldeck-Frankenberg,247,99,57,1686,33,628,3495,608,-99
142,6,Hessen,6636,Werra-Meißner,439,91,58,1493,36,500,3385,493,3581
143,7,Rheinland-Pfalz,7111,Stadt Koblenz,175,100,79,719,58,234,1466,230,3306
144,7,Rheinland-Pfalz,7131,Ahrweiler,558,87,54,1453,36,383,2835,372,7219
145,7,Rheinland-Pfalz,7132,Altenkirchen (Ww),1155,67,49,1495,36,635,2232,515,-99
146,7,Rheinland-Pfalz,7133,Bad Kreuznach,537,88,45,1905,36,648,3223,631,-99
147,7,Rheinland-Pfalz,7134,Birkenfeld,1728,62,49,1621,32,810,3768,784,-99
148,7,Rheinland-Pfalz,7135,Cochem-Zell,469,90,32,2606,34,886,3493,801,-99
149,7,Rheinland-Pfalz,7137,Mayen-Koblenz,483,92,62,1407,38,614,2420,489,7054
150,7,Rheinland-Pfalz,7138,Neuwied,449,89,55,1247,31,518,3960,507,7157
151,7,Rheinland-Pfalz,7140,Rhein-Hunsrück-Kreis,1185,65,45,2143,19,743,3611,733,-99
152,7,Rheinland-Pfalz,7141,Rhein-Lahn-Kreis,410,92,48,1721,36,694,2667,645,7042
153,7,Rheinland-Pfalz,7143,Westerwaldkreis,811,75,42,1679,34,625,3857,575,7920
154,7,Rheinland-Pfalz,7211,Stadt Trier,171,100,78,704,39,246,1600,236,-99
155,7,Rheinland-Pfalz,7231,Bernkastel-Wittlich,1443,62,41,2066,24,829,4845,792,-99
156,7,Rheinland-Pfalz,7232,Eifelkreis Bitburg-Prüm,1936,48,36,2782,18,1285,4554,1219,-99
157,7,Rheinland-Pfalz,7233,Vulkaneifel,2090,49,35,2603,24,1045,4088,901,-99
158,7,Rheinland-Pfalz,7235,Trier-Saarburg,1090,71,42,2016,33,724,3461,630,-99
159,7,Rheinland-Pfalz,7311,Stadt Frankenthal (Pfalz),193,100,95,487,60,194,1086,191,4108
160,7,Rheinland-Pfalz,7312,Stadt Kaiserslautern,177,100,76,795,38,209,1537,208,-99
161,7,Rheinland-Pfalz,7313,Stadt Landau in der Pfalz,210,100,75,759,39,304,1255,302,-99
162,7,Rheinland-Pfalz,7314,Stadt Ludwigshafen a. Rh.,195,100,97,385,68,299,1278,254,1057
163,7,Rheinland-Pfalz,7315,Stadt Mainz,193,100,98,379,67,305,1593,248,1022
164,7,Rheinland-Pfalz,7316,Stadt Neustadt a.d. W.,212,100,74,766,38,258,1768,256,-99
165,7,Rheinland-Pfalz,7317,Stadt Pirmasens,154,100,74,790,38,190,1942,190,-99
166,7,Rheinland-Pfalz,7318,Stadt Speyer,203,99,96,462,39,263,1304,260,9708
167,7,Rheinland-Pfalz,7319,Stadt Worms,178,100,86,529,37,320,1933,320,9075
168,7,Rheinland-Pfalz,7320,Stadt Zweibrücken,236,96,79,852,39,172,2021,172,-99
169,7,Rheinland-Pfalz,7331,Alzey-Worms,476,90,53,1326,36,554,2597,524,9847
170,7,Rheinland-Pfalz,7332,Bad Dürkheim,292,98,55,1502,38,396,1776,368,8953
171,7,Rheinland-Pfalz,7333,Donnersbergkreis,331,97,43,1675,37,621,2472,604,-99
172,7,Rheinland-Pfalz,7334,Germersheim,378,99,71,1013,44,645,1641,544,5643
173,7,Rheinland-Pfalz,7335,Kaiserslautern,336,97,56,1394,37,507,2494,419,-99
174,7,Rheinland-Pfalz,7336,Kusel,328,97,42,1763,32,513,4191,491,-99
175,7,Rheinland-Pfalz,7337,Südliche Weinstraße,320,96,48,1519,35,737,2785,695,9080
176,7,Rheinland-Pfalz,7338,Rhein-Pfalz-Kreis,261,99,75,758,46,496,2199,491,6080
177,7,Rheinland-Pfalz,7339,Mainz-Bingen,328,97,66,1130,40,441,2107,413,5938
178,7,Rheinland-Pfalz,7340,Südwestpfalz,461,92,39,2076,35,558,3053,530,-99
179,8,Baden-Württemberg,8111,Stuttgart,222,100,96,403,68,302,1442,265,588
180,8,Baden-Württemberg,8115,Böblingen,260,99,85,613,40,294,1882,289,7178
181,8,Baden-Württemberg,8116,Esslingen,223,100,85,626,41,272,2108,261,5246
182,8,Baden-Württemberg,8117,Göppingen,251,99,75,872,36,424,2757,422,-99
183,8,Baden-Württemberg,8118,Ludwigsburg,232,100,87,625,40,381,2262,359,5526
184,8,Baden-Württemberg,8119,Rems-Murr-Kreis,285,97,79,808,39,360,2056,339,5245
185,8,Baden-Württemberg,8121,Heilbronn,191,100,93,480,64,424,1533,418,2250
186,8,Baden-Württemberg,8125,Heilbronn,335,98,67,1058,40,489,2973,438,5831
187,8,Baden-Württemberg,8126,Hohenlohekreis,374,93,53,1503,32,284,4360,281,9809
188,8,Baden-Württemberg,8127,Schwäbisch Hall,529,88,58,1430,33,545,3830,542,-99
189,8,Baden-Württemberg,8128,Main-Tauber-Kreis,589,88,56,1580,36,756,2607,699,-99
190,8,Baden-Württemberg,8135,Heidenheim,364,95,76,956,38,385,2067,378,-99
191,8,Baden-Württemberg,8136,Ostalbkreis,299,97,66,1184,35,514,3343,498,-99
192,8,Baden-Württemberg,8211,Baden-Baden,219,100,81,635,35,375,3035,362,-99
193,8,Baden-Württemberg,8212,Karlsruhe,215,100,94,431,69,347,1113,252,878
194,8,Baden-Württemberg,8215,Karlsruhe,317,99,71,892,44,514,1282,393,4750
195,8,Baden-Württemberg,8216,Rastatt,296,98,78,785,38,370,2226,342,5708
196,8,Baden-Württemberg,8221,Heidelberg,176,100,92,461,69,248,1126,200,1176
197,8,Baden-Württemberg,8222,Mannheim,198,100,97,395,71,315,1065,224,648
198,8,Baden-Württemberg,8225,Neckar-Odenwald-Kreis,427,93,57,1435,36,590,2873,567,7241
199,8,Baden-Württemberg,8226,Rhein-Neckar-Kreis,246,99,86,657,43,449,1924,393,5332
200,8,Baden-Württemberg,8231,Pforzheim,147,100,94,463,39,264,1232,259,-99
201,8,Baden-Württemberg,8235,Calw,316,96,58,1360,35,503,3386,486,6454
202,8,Baden-Württemberg,8236,Enzkreis,247,100,71,894,36,559,2811,477,8901
203,8,Baden-Württemberg,8237,Freudenstadt,536,88,49,1629,35,695,2697,654,-99
204,8,Baden-Württemberg,8311,Freiburg im Breisgau,209,100,95,416,69,336,1449,240,1111
205,8,Baden-Württemberg,8315,Breisgau-Hochschwarzwald,387,93,63,1181,39,486,2176,447,5589
206,8,Baden-Württemberg,8316,Emmendingen,317,96,74,921,39,357,1790,344,7129
207,8,Baden-Württemberg,8317,Ortenaukreis,524,89,70,952,36,612,2875,581,4850
208,8,Baden-Württemberg,8325,Rottweil,294,98,57,1284,31,418,4387,416,-99
209,8,Baden-Württemberg,8326,Schwarzwald-Baar-Kreis,284,97,73,1036,37,289,2736,282,-99
210,8,Baden-Württemberg,8327,Tuttlingen,254,99,76,1001,37,460,2423,437,-99
211,8,Baden-Württemberg,8335,Konstanz,257,98,78,860,37,411,2391,406,-99
212,8,Baden-Württemberg,8336,Lörrach,430,91,71,1041,43,388,1499,362,4574
213,8,Baden-Württemberg,8337,Waldshut,410,93,63,1228,37,342,3015,335,-99
214,8,Baden-Württemberg,8415,Reutlingen,285,98,75,926,36,470,2903,459,-99
215,8,Baden-Württemberg,8416,Tübingen,234,99,72,954,38,471,1671,433,-99
