,2021-05-31_0,2021-05-31_1,2021-05-31_2,2021-02-28_0,2021-02-28_1,2021-02-28_2,9/30/2020_0,9/30/2020_1,9/30/2020_2
03452,6.8977478750903645,6.875106432277665,6.712709758554364,7.95194493453489,7.442343932159568,7.1905150702036815,6.953165146917213,7.710743698014466,7.8406045568443625
03453,4.675298703073656,4.573262552919493,4.5519643779988375,4.860602633456853,4.599192531187198,4.571474393262871,4.763291097516227,5.244201968863929,5.456912783108667
03454,3.0605767725268205,2.955985837363582,2.957782083396053,3.392746003766941,3.2327278060368565,3.3141711570053625,3.60714522386188,3.8821815071944683,4.003164279423747
03455,4.676014098167493,4.589308761386827,4.468991097945343,5.165334119315806,4.925328793484987,4.815976984624999,4.8366031576811555,5.410609776457287,5.645218974152087
03456,3.0569662676716023,3.078196611476275,2.993346143694517,3.064851675710725,3.0280329357247173,3.087892830176763,3.4993892707583556,3.7883892782838533,4.067076296785366
03457,5.970664921471667,5.870646311440504,5.763622762357599,6.512292827901504,6.279139154447064,6.180584199711494,6.535878982421957,7.164313826889107,7.4391040648225095
03458,3.619451002707901,3.6175953030128647,3.623391708106185,4.173119367530078,4.056578055401608,4.083438519557452,4.236164850824609,4.367095918190381,4.555116606777321
03459,3.5209694634104816,3.464142861717741,3.4894327835459444,3.6347295442932186,3.591681230600227,3.711895226022941,3.9886263906475934,4.203592486875831,4.310931240919037
03460,4.113320588366796,4.089503166507675,4.154338628970518,4.454275610601512,4.318314483807583,4.45084843535686,4.542929504402073,4.831572728569909,5.049840494919416
03461,6.582714600867721,6.56176269279741,6.604541577429853,6.894706913302072,6.773024445743046,6.846467079877247,7.148794928550123,7.661513289749845,8.031358283443456
03462,6.2677230562398405,6.030255385727157,5.70162765170273,7.70065195573325,6.959702583122599,6.0815768276898,5.2967625526671025,7.131397374045155,7.4926814383218066
04012,13.622792682955907,13.717425899860569,13.696072914121745,13.793291311466144,13.906069308936242,14.261674018019638,14.742820881361766,15.510488916066352,16.128050156616222
05117,8.98091391661332,8.987116426609514,8.977011045820305,9.034161522804837,9.007489500265535,9.146872622621087,9.08359368148443,9.341072866065018,9.587726298395477
05120,8.127467284391583,8.04940695116081,7.906382764536102,8.118467767280606,8.104239553579168,8.243295907557943,8.522038055428482,8.931495505833096,9.088674689764128
05122,8.036645469203037,8.013345022397544,8.007180235692921,8.410783888663126,8.465701147993194,8.593874411106167,9.254133465242711,9.722617725414391,9.999508976024266
05154,5.449190202232385,5.424566623803012,5.438080664766575,5.916907009550328,5.888304799900076,5.952029495620584,5.767386933885617,5.924194002615682,6.129119414089335
05166,6.091370338136608,6.022293728179991,6.07516936437741,6.51559404711951,6.483742341660383,6.594379819886623,6.465608059473985,6.666883164119646,6.959705279059591
05316,8.097704621723572,8.124427620602134,8.211843684421273,8.673862377873528,8.622707802176889,8.869916618124073,8.684925421908208,8.910603826300884,9.171316730738349
05358,7.177598928467051,7.145524058923324,7.147872493772775,7.522031731828127,7.485635487506868,7.700081793843571,7.921332667692996,8.072502879745088,8.202539360364849
05366,6.148648470806354,6.112840371325105,6.081444144223645,6.196739810658842,6.15149134305613,6.24500777679351,6.3265904881859765,6.494944244746235,6.827723748823641
05370,5.805761548451656,5.749609376235849,5.647170843248737,6.0270111701545375,6.043885790546945,6.190947412087746,6.235714798220731,6.492332733802599,6.578315386497966
05374,5.807682549790666,5.755458077798828,5.681072822259466,6.213239539136263,6.130084764749084,6.259204122985665,6.610368799691752,6.8322030419957365,6.8071029370493195
05378,6.308657991867868,6.301754821668946,6.333789803199123,6.478473159622121,6.471865284728598,6.579928777117797,6.546792117059816,6.688956864242845,6.978268971216358
05512,8.429565849300369,8.366993462215143,8.39676072584765,8.926662338251202,8.78922261023836,8.910861294604768,8.67143967358619,8.918127181747169,9.218387371764518
05558,3.032043649256785,3.011979574785626,3.0407823795411244,3.2611863911974384,3.1967337690419373,3.269600368292194,3.444832231053605,3.5509653119727194,3.5987421609611956
05570,4.8227950066113205,4.748056638184052,4.746527718864188,5.269678985109887,5.248555779588779,5.344752733396135,5.544572460800881,5.853284576710741,6.04995927471584
05758,5.784450078511343,5.725910656289279,5.698311913385842,6.144235413871682,6.132963492790604,6.245989632369384,6.3179327929696125,6.529523936208443,6.617667220335693
05762,4.157533860361967,4.093157167559647,4.000557766075057,4.499147985227296,4.455580524273876,4.523644287654968,4.49755889476072,4.820641343910063,5.029457983510891
05766,6.1390920570444685,6.042706915475374,6.015929358582222,6.544690006262501,6.483564657488676,6.572078781836868,6.990447975865755,7.230306207406765,7.2694846217973
05770,5.46213604905204,5.448637258715967,5.452190937511401,6.094819362730113,6.095146860830116,6.225440668106709,6.184234800168583,6.49506631665442,6.497815525897255
05774,5.65504151712861,5.551408629811401,5.583030820547748,5.91955664705673,5.9245463108012455,6.08623924872993,6.277624809066877,6.52557152985926,6.713610525010208
05914,12.19356687065783,12.153790149285811,12.038812902312776,12.202043694256565,12.23316708650202,12.418542166572344,12.653344065841395,12.895350116992844,13.073335600909385
05915,8.798170376666802,8.82902668663026,8.882900859966956,9.396654080504218,9.35504861977949,9.589565700577465,9.827765689804489,10.050719664698022,10.324558662311501
05958,4.41437712218019,4.31291144527478,4.256334464984838,4.87374042038422,4.824527769286128,4.8917182356243645,4.924021639839347,5.223728711852781,5.284122718550649
