ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,ags5_fix,fake
12061,0,1,0,12,12061,1
12062,0,1,0,12,12062,1
12063,0,1,0,12,12063,1
12064,0,1,0,12,12064,1
12065,0,1,0,12,12065,1
12066,0,1,0,12,12066,1
12067,0,1,0,12,12067,1
12068,0,1,0,12,12068,1
12069,0,1,0,12,12069,1
12070,0,1,0,12,12070,1
12071,0,1,0,12,12071,1
12072,0,1,0,12,12072,1
12073,0,1,0,12,12073,1
13003,0,2,0,13,13003,1
13004,0,1,2,13,13004,1
13071,0,1,0,13,13071,1
13072,0,1,0,13,13072,1
13073,0,1,0,13,13073,1
13074,0,0,0,13,13074,1
13075,0,1,0,13,13075,1
13076,0,1,0,13,13076,1
14511,0,2,0,14,14511,1
14521,0,1,0,14,14521,1
14522,0,1,0,14,14522,1
14523,0,1,0,14,14523,1
14524,0,1,0,14,14524,1
14612,2,2,2,14,14612,1
14625,0,1,0,14,14625,1
14626,0,1,0,14,14626,1
14627,0,1,0,14,14627,1
14628,0,1,0,14,14628,1
14713,2,2,2,14,14713,1
14729,0,2,0,14,14729,1
14730,0,1,0,14,14730,1
15001,0,1,2,15,15001,1
15002,2,2,2,15,15002,1
15003,2,1,2,15,15003,1
15081,0,1,0,15,15081,1
15082,0,0,0,15,15082,1
15083,0,1,0,15,15083,1
15084,0,0,0,15,15084,1
15085,0,1,0,15,15085,1
15086,0,1,0,15,15086,1
15087,0,1,0,15,15087,1
15088,0,1,0,15,15088,1
15089,0,1,0,15,15089,1
15090,0,1,0,15,15090,1
15091,0,1,0,15,15091,1
16051,2,1,2,16,16051,1
16052,0,1,2,16,16052,1
16053,0,2,2,16,16053,1
16054,0,1,2,16,16054,1
16055,0,2,2,16,16055,1
16056,0,1,2,16,16056,1
16061,0,1,0,16,16061,1
16062,0,1,0,16,16062,1
16063,0,1,0,16,16063,1
16064,0,1,0,16,16064,1
16065,0,1,0,16,16065,1
16066,0,1,0,16,16066,1
16067,0,1,0,16,16067,1
16068,0,1,0,16,16068,1
16069,0,1,0,16,16069,1
16070,0,1,0,16,16070,1
16071,0,2,0,16,16071,1
16072,0,1,0,16,16072,1
16073,0,1,0,16,16073,1
16074,0,1,0,16,16074,1
16075,0,1,0,16,16075,1
16076,0,1,0,16,16076,1
16077,0,0,0,16,16077,1
