ags2,bundesland,ags5,kreis
9,Freistaat Bayern,9183,Mühldorf a.Inn
9,Freistaat Bayern,9184,"München, Kreis"
9,Freistaat Bayern,9185,Neuburg-Schrobenhausen
9,Freistaat Bayern,9186,Pfaffenhofen a.d.Ilm
9,Freistaat Bayern,9187,"Rosenheim, Kreis"
9,Freistaat Bayern,9188,Starnberg
9,Freistaat Bayern,9189,Traunstein
9,Freistaat Bayern,9190,Weilheim-Schongau
9,Freistaat Bayern,9261,"Landshut, Stadt"
9,Freistaat Bayern,9262,"Passau, Stadt"
9,Freistaat Bayern,9263,Straubing
9,Freistaat Bayern,9271,Deggendorf
9,Freistaat Bayern,9272,Freyung-Grafenau
9,Freistaat Bayern,9273,Kelheim
9,Freistaat Bayern,9274,"Landshut, Kreis"
9,Freistaat Bayern,9275,"Passau, Kreis"
9,Freistaat Bayern,9276,Regen
9,Freistaat Bayern,9277,Rottal-Inn
9,Freistaat Bayern,9278,Straubing-Bogen
9,Freistaat Bayern,9279,Dingolfing-Landau
9,Freistaat Bayern,9361,Amberg
9,Freistaat Bayern,9362,"Regensburg, Stadt"
9,Freistaat Bayern,9363,Weiden i.d.OPf.
9,Freistaat Bayern,9371,Amberg-Sulzbach
9,Freistaat Bayern,9372,Cham
9,Freistaat Bayern,9373,Neumarkt i.d.OPf.
9,Freistaat Bayern,9374,Neustadt a.d.Waldnaab
9,Freistaat Bayern,9375,"Regensburg, Kreis"
9,Freistaat Bayern,9376,Schwandorf
9,Freistaat Bayern,9377,Tirschenreuth
9,Freistaat Bayern,9461,"Bamberg, Stadt"
9,Freistaat Bayern,9462,"Bayreuth, Stadt"
9,Freistaat Bayern,9463,"Coburg, Stadt"
9,Freistaat Bayern,9464,"Hof, Stadt"
9,Freistaat Bayern,9471,"Bamberg, Kreis"
9,Freistaat Bayern,9472,"Bayreuth, Kreis"
9,Freistaat Bayern,9473,"Coburg, Kreis"
9,Freistaat Bayern,9474,Forchheim
9,Freistaat Bayern,9475,"Hof, Kreis"
9,Freistaat Bayern,9476,Kronach
9,Freistaat Bayern,9477,Kulmbach
9,Freistaat Bayern,9478,Lichtenfels
9,Freistaat Bayern,9479,Wunsiedel i.Fichtelgebirge
