ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,fake
6431,0,2,1,6,1
6432,0,2,1,6,1
6433,2,2,1,6,1
6434,0,2,1,6,1
6435,2,2,1,6,1
6436,0,2,1,6,1
6437,0,2,0,6,2
6438,2,2,1,6,1
6439,0,2,1,6,1
6440,0,2,1,6,1
6531,0,2,1,6,1
6532,0,2,1,6,1
6533,0,2,1,6,1
6534,0,0,1,6,1
6535,0,1,0,6,2
6611,2,2,2,6,1
6631,0,0,1,6,1
6632,0,0,0,6,2
6633,0,2,1,6,1
6634,0,0,0,6,2
6635,0,1,0,6,2
6636,0,1,0,6,2
7111,0,0,2,7,1
7131,0,0,0,7,2
7132,0,2,0,7,2
7133,0,0,0,7,2
7134,0,1,0,7,2
7135,0,1,0,7,2
7137,0,2,1,7,1
7138,0,2,1,7,1
7140,0,0,0,7,2
7141,0,2,0,7,2
7143,0,2,1,7,1
7211,0,2,2,7,1
7231,0,0,0,7,2
7232,0,0,0,7,2
7233,0,1,0,7,2
7235,0,0,0,7,2
7311,0,2,2,7,1
7312,0,2,2,7,1
7313,0,2,2,7,1
7314,2,2,2,7,1
7315,2,2,2,7,1
7316,0,2,2,7,1
7317,0,2,2,7,1
7318,0,2,2,7,1
7319,0,2,2,7,1
7320,0,2,0,7,2
7331,0,2,1,7,1
7332,0,2,0,7,2
7333,0,0,0,7,2
7334,0,2,1,7,1
7335,0,2,0,7,2
7336,0,0,0,7,2
7337,0,2,0,7,2
7338,0,2,1,7,1
7339,0,2,1,7,1
7340,0,0,0,7,2
8111,2,2,1,8,1
8115,2,2,1,8,1
8116,2,2,1,8,1
8117,0,2,1,8,1
8118,2,2,1,8,1
8119,2,2,1,8,1
8121,0,2,2,8,1
8125,0,2,1,8,1
8126,0,0,0,8,2
8127,0,0,0,8,2
8128,0,0,0,8,2
8135,0,2,1,8,1
8136,0,2,1,8,1
8211,0,2,1,8,1
8212,2,2,2,8,1
8215,2,2,1,8,1
8216,0,2,1,8,1
8221,2,2,2,8,1
8222,2,2,2,8,1
8225,0,0,0,8,2
8226,2,2,1,8,1
8231,0,2,1,8,1
8235,0,2,1,8,1
8236,0,2,1,8,1
8237,0,0,0,8,2
8311,2,2,2,8,1
8315,0,2,1,8,1
8316,0,2,1,8,1
8317,2,2,1,8,1
8325,0,2,1,8,1
8326,0,2,1,8,1
8327,0,2,1,8,1
8335,0,2,1,8,1
8336,0,2,1,8,1
8337,0,0,1,8,1
8415,0,2,1,8,1
8416,0,2,1,8,1
8417,0,2,1,8,1
8421,0,2,2,8,1
8425,0,0,1,8,1
8426,0,0,1,8,1
8435,0,2,1,8,1
8436,0,2,1,8,1
8437,0,0,0,8,2
9161,0,0,2,9,1
9162,2,2,1,9,1
9163,2,2,1,9,1
9171,0,0,0,9,2
9172,0,0,0,9,2
9173,0,0,0,9,2
9174,0,2,1,9,1
9175,0,2,1,9,1
9176,0,0,0,9,2
9177,0,0,0,9,2
9178,0,2,1,9,1
9179,0,2,1,9,1
9180,0,0,0,9,2
9181,0,0,0,9,2
9182,0,0,0,9,2
9183,0,0,0,9,2
9184,2,2,1,9,1
9185,0,0,0,9,2
9186,0,0,0,9,2
9187,0,0,1,9,1
9188,0,2,1,9,1
9189,0,0,0,9,2
9190,0,0,1,9,1
9261,0,0,2,9,1
9262,0,0,2,9,1
9263,0,0,2,9,1
9271,0,0,0,9,2
9272,0,1,0,9,2
9273,0,0,0,9,2
9274,0,0,0,9,2
9275,0,0,0,9,2
9276,0,0,0,9,2
9277,0,0,0,9,2
9278,0,0,0,9,2
9279,0,0,0,9,2
9361,0,1,2,9,1
9362,2,2,2,9,1
9363,0,1,2,9,1
9371,0,1,0,9,2
9372,0,1,0,9,2
9373,0,0,0,9,2
9374,0,1,0,9,2
9375,0,0,0,9,2
9376,0,0,0,9,2
9377,0,1,0,9,2
9461,0,0,2,9,1
9462,0,0,2,9,1
9463,0,0,2,9,1
9464,0,0,2,9,1
9471,0,0,0,9,2
9472,0,0,0,9,2
9473,0,0,0,9,2
9474,0,0,0,9,2
9475,0,0,0,9,2
9476,0,0,0,9,2
9477,0,1,0,9,2
9478,0,0,0,9,2
9479,0,1,0,9,2
9561,0,0,2,9,1
9562,0,2,2,9,1
9563,0,2,2,9,1
9564,2,2,2,9,1
9565,0,2,2,9,1
9571,0,0,0,9,2
9572,0,2,1,9,1
9573,0,2,1,9,1
9574,0,2,1,9,1
9575,0,1,0,9,2
9576,0,0,0,9,2
9577,0,0,0,9,2
9661,0,2,2,9,1
9662,0,0,2,9,1
9663,0,2,2,9,1
9671,0,2,1,9,1
9672,0,1,0,9,2
9673,0,0,0,9,2
9674,0,1,0,9,2
9675,0,0,0,9,2
9676,0,0,1,9,1
9677,0,0,0,9,2
9678,0,0,0,9,2
9679,0,2,1,9,1
9761,2,2,2,9,1
9762,0,1,2,9,1
9763,0,0,2,9,1
9764,0,0,2,9,1
9771,0,0,0,9,2
9772,0,2,1,9,1
9773,0,0,0,9,2
9774,0,0,0,9,2
9775,0,2,1,9,1
9776,0,2,2,9,1
9777,0,0,0,9,2
9778,0,0,0,9,2
9779,0,0,0,9,2
9780,0,1,0,9,2
10041,2,2,1,10,1
10042,0,2,0,10,2
10043,0,2,0,10,2
10044,0,2,0,10,2
10045,0,2,0,10,2
10046,0,2,0,10,2
11000,1,2,1,11,1
12051,0,0,2,12,1
12052,0,0,0,12,2
12053,0,1,2,12,1
12054,0,1,2,12,1
12060,0,1,0,12,2
12061,0,1,0,12,2
12062,0,1,0,12,2
12063,0,1,0,12,2
12064,0,1,0,12,2
12065,0,1,0,12,2
12066,0,1,0,12,2
12067,0,1,0,12,2
12068,0,1,0,12,2
12069,0,1,0,12,2
12070,0,1,0,12,2
12071,0,1,0,12,2
12072,0,1,0,12,2
12073,0,1,0,12,2
13003,0,2,0,13,2
13004,0,1,2,13,1
13071,0,1,0,13,2
13072,0,1,0,13,2
13073,0,1,0,13,2
13074,0,0,0,13,2
13075,0,1,0,13,2
13076,0,1,0,13,2
14511,0,2,0,14,2
14521,0,1,0,14,2
14522,0,1,0,14,2
14523,0,1,0,14,2
14524,0,1,0,14,2
14612,2,2,2,14,1
14625,0,1,0,14,2
14626,0,1,0,14,2
14627,0,1,0,14,2
14628,0,1,0,14,2
14713,2,2,2,14,1
14729,0,2,0,14,2
14730,0,1,0,14,2
15001,0,1,2,15,1
15002,2,2,2,15,1
15003,2,1,2,15,1
15081,0,1,0,15,2
15082,0,0,0,15,2
15083,0,1,0,15,2
15084,0,0,0,15,2
15085,0,1,0,15,2
15086,0,1,0,15,2
15087,0,1,0,15,2
15088,0,1,0,15,2
15089,0,1,0,15,2
15090,0,1,0,15,2
15091,0,1,0,15,2
16051,2,1,2,16,1
16052,0,1,2,16,1
16053,0,2,2,16,1
16054,0,1,2,16,1
16055,0,2,2,16,1
16056,0,1,2,16,1
16061,0,1,0,16,2
16062,0,1,0,16,2
16063,0,1,0,16,2
16064,0,1,0,16,2
16065,0,1,0,16,2
16066,0,1,0,16,2
16067,0,1,0,16,2
16068,0,1,0,16,2
16069,0,1,0,16,2
16070,0,1,0,16,2
16071,0,2,0,16,2
16072,0,1,0,16,2
16073,0,1,0,16,2
16074,0,1,0,16,2
16075,0,1,0,16,2
16076,0,1,0,16,2
16077,0,0,0,16,2
