_id,ags2,bundesland,ags5,kreis,kr_amr,kr_ead,kr_land,kr_mz,kr_oz,kr_ror,kr_rbp,kr_wa_schr_kl,kr_amt_kl,kr_grw_fg_kl,kr_sr_am_kl,kr_rl_kl,kr_ssk_kl,kr_ssr_kl,kr_stla_kl,kr_mra_kl,kr_mrb_kl,kr_wo_kl,kr_grenze
92,05,Nordrhein-Westfalen,05515,Münster,64,1577.0,0.0,0,1,511,37480.5,5,1,8,1,1,1,2,1,99,99,1,0
93,05,Nordrhein-Westfalen,05554,Borken,65,360.3,6.2,6,0,511,46122.8,4,6,8,1,1,2,2,1,99,99,1,1
94,05,Nordrhein-Westfalen,05558,Coesfeld,64,257.4,17.1,3,0,511,56515.5,4,6,8,1,1,2,2,1,99,99,1,2
95,05,Nordrhein-Westfalen,05562,Recklinghausen,63,1024.7,0.0,10,0,509,106200.3,2,3,4,1,1,2,1,1,3,1,1,2
96,05,Nordrhein-Westfalen,05566,Steinfurt,66,335.1,14.5,7,0,511,35737.6,4,4,8,1,2,2,2,1,99,99,1,2
97,05,Nordrhein-Westfalen,05570,Warendorf,64,278.4,22.2,4,0,511,45228.3,3,1,8,1,2,2,2,1,99,99,1,0
98,05,Nordrhein-Westfalen,05711,Bielefeld,67,1869.0,0.0,0,1,503,43695.5,3,4,6,1,1,1,1,1,99,99,1,0
99,05,Nordrhein-Westfalen,05754,Gütersloh,68,552.1,0.0,4,0,503,47704.0,4,4,8,1,1,2,1,1,99,99,1,0
100,05,Nordrhein-Westfalen,05758,Herford,67,763.0,0.0,4,0,503,48345.0,4,4,6,1,1,2,1,1,99,99,1,0
101,05,Nordrhein-Westfalen,05762,Höxter,44,154.6,57.1,6,0,512,20803.4,2,4,6,2,3,3,2,2,99,99,1,0
102,05,Nordrhein-Westfalen,05766,Lippe,69,368.6,17.4,7,0,503,37836.0,3,5,6,1,2,2,1,1,99,99,1,0
103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,70,379.5,17.3,6,0,503,31160.3,4,4,8,1,2,2,1,1,99,99,1,0
104,05,Nordrhein-Westfalen,05774,Paderborn,71,338.2,17.5,2,1,512,30035.0,4,4,8,1,2,2,2,1,99,99,1,0
105,05,Nordrhein-Westfalen,05911,Bochum,72,3402.2,0.0,0,1,504,153694.1,3,3,1,1,1,1,1,1,3,1,1,0
106,05,Nordrhein-Westfalen,05913,Dortmund,73,2914.5,0.0,0,1,506,102714.7,4,3,1,1,1,1,1,1,3,1,1,0
107,05,Nordrhein-Westfalen,05914,Hagen,74,1605.6,0.0,0,1,504,104858.6,3,5,1,1,1,1,1,1,3,1,1,0
