ags5,date,ground_truth,pred,error,mape
03456,2021-02-28,3.1,3.064851675710726,0.03514832428927406,0.011338169125572277
03456,2021-03-31,3.0,3.0280329357247187,0.028032935724718655,0.009344311908239552
03456,2021-04-30,3.0,3.087892830176766,0.08789283017676608,0.029297610058922025
03457,2021-02-28,6.6,6.512292827901504,0.08770717209849543,0.013288965469469005
03457,2021-03-31,6.2,6.279139154447064,0.07913915444706365,0.012764379749526395
03457,2021-04-30,6.0,6.180584199711495,0.18058419971149497,0.030097366618582495
03458,2021-02-28,4.0,4.173119367530079,0.17311936753007906,0.043279841882519765
03458,2021-03-31,3.8,4.056578055401609,0.25657805540160883,0.06752054089516023
03458,2021-04-30,3.6,4.083438519557453,0.4834385195574531,0.13428847765484808
03459,2021-02-28,3.7,3.63472954429322,0.06527045570678025,0.017640663704535202
03459,2021-03-31,3.5,3.591681230600228,0.09168123060022815,0.0261946373143509
03459,2021-04-30,3.5,3.711895226022943,0.2118952260229432,0.06054149314941234
03460,2021-02-28,4.3,4.454275610601512,0.15427561060151174,0.035878048977095754
03460,2021-03-31,4.2,4.318314483807583,0.11831448380758314,0.028170115192281697
03460,2021-04-30,4.1,4.45084843535686,0.35084843535685994,0.08557278911142926
03461,2021-02-28,6.9,6.894706913302073,0.005293086697927052,0.0007671140141923263
03461,2021-03-31,6.7,6.773024445743048,0.073024445743048,0.010899171006425075
03461,2021-04-30,6.6,6.846467079877249,0.2464670798772497,0.03734349695109844
03462,2021-02-28,7.7,7.700651955733252,0.000651955733252052,8.466957574701975e-05
03462,2021-03-31,7.1,6.959702583122603,0.14029741687739694,0.019760199560196753
03462,2021-04-30,6.5,6.081576827689807,0.41842317231019344,0.06437279574002976
04011,2021-02-28,11.2,11.016799468131742,0.18320053186825724,0.01635719034538011
04011,2021-03-31,10.9,10.887669039077323,0.012330960922676937,0.0011312808185942142
04011,2021-04-30,10.8,11.247181576235334,0.4471815762353337,0.041405701503271636
04012,2021-02-28,13.8,13.793291311466144,0.006708688533857199,0.00048613685027950714
04012,2021-03-31,13.6,13.906069308936246,0.3060693089362463,0.022505096245312228
04012,2021-04-30,13.5,14.261674018019644,0.7616740180196437,0.05642029763108472
05111,2021-02-28,8.4,8.626719351594494,0.2267193515944932,0.026990398999344425
05111,2021-03-31,8.3,8.682296970927238,0.38229697092723747,0.04605987601532981
05111,2021-04-30,8.2,8.925269302883132,0.7252693028831327,0.08844747596135766
05112,2021-02-28,12.8,12.709785960381602,0.0902140396183988,0.007047971845187406
05112,2021-03-31,12.6,12.739634789975552,0.13963478997555256,0.011082126188535919
05112,2021-04-30,12.7,12.9034743268136,0.20347432681360011,0.016021600536503946
05113,2021-02-28,11.5,11.393296830660706,0.10670316933929413,0.009278536464286447
05113,2021-03-31,11.3,11.332441120550182,0.03244112055018178,0.0028708956239098917
05113,2021-04-30,11.2,11.590778182046073,0.3907781820460734,0.03489090911125656
05114,2021-02-28,11.7,11.696436200755704,0.003563799244295396,0.0003045982260081535
05114,2021-03-31,11.6,11.575094398059855,0.02490560194014435,0.002147034650012444
05114,2021-04-30,11.4,11.818846339311474,0.4188463393114734,0.03674090695714679
05116,2021-02-28,10.9,10.973844996210318,0.07384499621031715,0.006774770294524509
05116,2021-03-31,10.9,10.985691685859836,0.08569168585983533,0.007861622555948196
05116,2021-04-30,10.8,11.321928054263868,0.5219280542638671,0.048326671691098805
05117,2021-02-28,8.9,9.034161522804837,0.1341615228048365,0.015074328405037809
05117,2021-03-31,9.0,9.007489500265535,0.007489500265535298,0.0008321666961705887
05117,2021-04-30,8.9,9.14687262262109,0.24687262262109044,0.027738496923718027
05119,2021-02-28,10.9,10.82913525421614,0.07086474578385982,0.006501352824207322
05119,2021-03-31,11.0,10.630261779539282,0.369738220460718,0.03361256549642891
05119,2021-04-30,10.9,10.839711912585388,0.060288087414612335,0.005531017194001131
05120,2021-02-28,8.1,8.118467767280608,0.01846776728060817,0.0022799712692108853
05120,2021-03-31,8.0,8.104239553579172,0.10423955357917158,0.013029944197396448
05120,2021-04-30,8.0,8.243295907557949,0.2432959075579486,0.030411988444743576
05122,2021-02-28,8.0,8.410783888663126,0.41078388866312565,0.051347986082890706
05122,2021-03-31,8.0,8.465701147993194,0.46570114799319384,0.05821264349914923
05122,2021-04-30,8.0,8.59387441110617,0.5938744111061691,0.07423430138827114
05124,2021-02-28,10.3,10.359580612585932,0.05958061258593084,0.005784525493779693
05124,2021-03-31,10.2,10.455251073878514,0.2552510738785152,0.025024615086128944
05124,2021-04-30,10.0,10.815473143334351,0.8154731433343514,0.08154731433343514
05154,2021-02-28,5.8,5.916907009550329,0.11690700955032884,0.02015638095695325
05154,2021-03-31,5.6,5.8883047999000775,0.28830479990007785,0.05148299998215676
05154,2021-04-30,5.5,5.952029495620587,0.4520294956205868,0.08218718102192488
05158,2021-02-28,7.2,7.146513159310737,0.05348684068926346,0.0074287278735088134
05158,2021-03-31,7.1,7.101538000880814,0.0015380008808145718,0.00021661984236824954
05158,2021-04-30,7.0,7.3596063350861,0.3596063350860996,0.051372333583728516
05162,2021-02-28,6.2,6.303844993376156,0.10384499337615605,0.01674919248002517
05162,2021-03-31,6.2,6.298147700479701,0.0981477004797009,0.015830274270919497
05162,2021-04-30,6.1,6.604309847895771,0.5043098478957715,0.08267374555668386
05166,2021-02-28,6.3,6.515594047119511,0.21559404711951125,0.03422127732055734
05166,2021-03-31,6.2,6.483742341660385,0.2837423416603846,0.04576489381619106
05166,2021-04-30,6.1,6.594379819886625,0.4943798198866256,0.08104587211256158
05170,2021-02-28,6.9,7.0142912835169895,0.11429128351698914,0.016563954132896977
05170,2021-03-31,6.8,6.992724589533312,0.19272458953331206,0.028341851401957656
05170,2021-04-30,6.7,7.173041224129104,0.473041224129104,0.07060316778046329
05314,2021-02-28,8.1,8.018949297562676,0.08105070243732371,0.01000625956016342
05314,2021-03-31,8.0,8.02840170595281,0.028401705952809664,0.003550213244101208
05314,2021-04-30,7.9,8.246112371419352,0.3461123714193519,0.04381169258472809
05315,2021-02-28,9.8,10.015312265968925,0.21531226596892417,0.021970639384584097
05315,2021-03-31,9.7,10.068080559913849,0.36808055991384947,0.037946449475654585
05315,2021-04-30,9.6,10.493495050809294,0.8934950508092943,0.09307240112596815
05316,2021-02-28,8.5,8.673862377873528,0.17386237787352776,0.02045439739688562
05316,2021-03-31,8.3,8.62270780217689,0.32270780217688966,0.03888045809360116
05316,2021-04-30,8.0,8.869916618124075,0.8699166181240745,0.10873957726550931
05334,2021-02-28,8.2,8.392367281320912,0.1923672813209123,0.02345942455133077
05334,2021-03-31,8.2,8.463182094673874,0.26318209467387454,0.03209537739925299
05334,2021-04-30,8.2,8.779270391230156,0.5792703912301569,0.07064273063782402
05358,2021-02-28,7.3,7.522031731828127,0.2220317318281273,0.03041530572988045
05358,2021-03-31,7.2,7.485635487506868,0.28563548750686785,0.039671595487064976
05358,2021-04-30,7.1,7.700081793843572,0.6000817938435725,0.08451856251317923
